('Total Revenue', '270,010,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ', '168,088,000 ')
         853767 function calls (829508 primitive calls) in 2.989 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6195    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
        3    0.001    0.000    0.001    0.000 socket.py:221(__init__)
      341    0.001    0.000    0.002    0.000 css_parser.py:1108(selector_iter)
      190    0.001    0.000    0.005    0.000 _compiler.py:511(_compile_info)
    217/4    0.001    0.000    0.699    0.175 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      310    0.001    0.000    0.002    0.000 typing.py:175(_type_check)
     4909    0.001    0.000    0.001    0.000 element.py:2771(descendants)
      259    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     1057    0.001    0.000    0.001    0.000 _parser.py:312(_class_escape)
      197    0.001    0.000    0.258    0.001 <frozen importlib._bootstrap_external>:1491(_get_spec)
     3705    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
        1    0.001    0.001    0.001    0.001 connection.py:82(HTTPConnection)
     3479    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      259    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
     1363    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
      190    0.001    0.000    0.080    0.000 _compiler.py:740(compile)
     3260    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
      380    0.000    0.000    0.001    0.000 enum.py:1562(__and__)
      345    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
     4980    0.000    0.000    0.000    0.000 filter.py:259(_base_match)
      853    0.000    0.000    0.001    0.000 typing.py:1188(__setattr__)
     3144    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
    56/16    0.000    0.000    0.009    0.001 css_parser.py:925(parse_selectors)
      192    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      259    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
     3259    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
       43    0.000    0.000    1.038    0.024 response.py:1173(read_chunked)
     3711    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
    192/4    0.000    0.000    0.680    0.170 <frozen importlib._bootstrap>:911(_load_unlocked)
      942    0.000    0.000    0.001    0.000 _parser.py:449(_uniq)
     2800    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
     2408    0.000    0.000    0.001    0.000 element.py:2168(get)
      165    0.000    0.000    0.174    0.001 <frozen importlib._bootstrap_external>:1183(get_data)
      804    0.000    0.000    0.001    0.000 _parser.py:372(_escape)
     3821    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     1440    0.000    0.000    0.001    0.000 enum.py:1544(_get_value)
     5675    0.000    0.000    0.000    0.000 element.py:2227(__bool__)
      174    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
     2322    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       10    0.000    0.000    0.002    0.000 enum.py:919(_convert_)
     2585    0.000    0.000    0.001    0.000 css_parser.py:317(match)
       21    0.000    0.000    1.453    0.069 __init__.py:1(<module>)
     3087    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
     3215    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      134    0.000    0.000    0.002    0.000 typing.py:1242(__init__)
      190    0.000    0.000    0.049    0.000 _parser.py:969(parse)
      330    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      856    0.000    0.000    0.318    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       42    0.000    0.000    1.020    0.024 response.py:1151(_handle_chunk)
       79    0.000    0.000    0.003    0.000 css_parser.py:472(parse_attribute_selector)
     1005    0.000    0.000    0.000    0.000 {built-in method fromkeys}
     1005    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      928    0.000    0.000    0.001    0.000 typing.py:1134(_is_dunder)
     1434    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     1663    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
     1243    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
       68    0.000    0.000    0.001    0.000 filter.py:378(__init__)
    165/4    0.000    0.000    0.680    0.170 <frozen importlib._bootstrap_external>:989(exec_module)
     3073    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      346    0.000    0.000    0.000    0.000 socket.py:732(readable)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      174    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      495    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       42    0.000    0.000    0.017    0.000 response.py:469(_decode)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       64    0.000    0.000    1.020    0.016 client.py:633(_safe_read)
      499    0.000    0.000    0.001    0.000 enum.py:726(__call__)
  192/189    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
       62    0.000    0.000    0.002    0.000 typing.py:687(Union)
       87    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       20    0.000    0.000    0.009    0.000 <frozen zipimport>:64(__init__)
      190    0.000    0.000    0.030    0.000 _compiler.py:573(_code)
      138    0.000    0.000    0.001    0.000 typing_extensions.py:3474(_collect_parameters)
      259    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
       43    0.000    0.000    0.000    0.000 response.py:1133(_update_chunk_length)
       54    0.000    0.000    0.776    0.014 {method 'readline' of '_io.BufferedReader' objects}
      165    0.000    0.000    0.081    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      358    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
      142    0.000    0.000    0.000    0.000 css_parser.py:369(__init__)
      257    0.000    0.000    0.127    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      190    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      488    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
  212/176    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      128    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
  758/701    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      412    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
      138    0.000    0.000    0.000    0.000 typing_extensions.py:3389(_has_generic_or_protocol_as_origin)
      347    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
  142/137    0.000    0.000    0.002    0.000 css_parser.py:395(freeze)
      174    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
     1299    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      499    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
        6    0.000    0.000    0.002    0.000 typing.py:2780(__new__)
     1299    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      740    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      825    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
  166/163    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        1    0.000    0.000    0.022    0.022 packages.py:1(<module>)
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        1    0.000    0.000    2.290    2.290 financial.py:8(main)
       27    0.000    0.000    0.000    0.000 enum.py:254(__set_name__)
       51    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      217    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
      423    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      660    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      237    0.000    0.000    0.118    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      692    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
      825    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      323    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
       23    0.000    0.000    0.001    0.000 enum.py:528(__new__)
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       74    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       54    0.000    0.000    0.001    0.000 typing.py:1449(__getitem__)
      739    0.000    0.000    0.000    0.000 _parser.py:83(groups)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      128    0.000    0.000    0.001    0.000 _htmlparser.py:285(handle_comment)
      197    0.000    0.000    0.258    0.001 <frozen importlib._bootstrap_external>:1520(find_spec)
       43    0.000    0.000    1.038    0.024 models.py:816(generate)
      307    0.000    0.000    0.083    0.000 __init__.py:226(compile)
      142    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      100    0.000    0.000    0.000    0.000 enum.py:1551(__or__)
      138    0.000    0.000    0.001    0.000 typing.py:1147(__init__)
       62    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      324    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
       86    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
       49    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
      405    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      215    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       68    0.000    0.000    0.014    0.000 element.py:1079(_find_all)
      522    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      339    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
       51    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
        1    0.000    0.000    0.204    0.204 connection.py:27(create_connection)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
      137    0.000    0.000    0.000    0.000 element.py:657(_last_descendant)
      517    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      190    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
        1    0.000    0.000    2.989    2.989 financial.py:1(<module>)
      249    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      198    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      350    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        3    0.000    0.000    0.038    0.013 utils.py:1(<module>)
        2    0.000    0.000    0.000    0.000 typing.py:2186(get_type_hints)
      198    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      352    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
        8    0.000    0.000    0.000    0.000 message.py:494(get)
      217    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
       75    0.000    0.000    0.000    0.000 css_parser.py:542(parse_tag_pattern)
      380    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
       68    0.000    0.000    0.013    0.000 filter.py:163(find_all)
      518    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.108    0.108 dammit.py:1(<module>)
      302    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
        2    0.000    0.000    0.000    0.000 cookiejar.py:466(parse_ns_headers)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
    79/46    0.000    0.000    0.260    0.006 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.157    0.157 socket.py:946(getaddrinfo)
       28    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
    66/35    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
       73    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
        7    0.000    0.000    0.002    0.000 typing.py:2761(_make_nmtuple)
       60    0.000    0.000    0.001    0.000 typing.py:1458(copy_with)
      194    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       20    0.000    0.000    0.018    0.001 <frozen importlib._bootstrap_external>:1456(_path_hooks)
        1    0.000    0.000    0.000    0.000 timeout.py:1(<module>)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       75    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
       12    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
      271    0.000    0.000    0.000    0.000 filter.py:490(_make_match_rules)
      519    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
      190    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
       55    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
      138    0.000    0.000    0.000    0.000 element.py:1881(_all_strings)
      513    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       20    0.000    0.000    0.013    0.001 <frozen importlib._bootstrap_external>:1644(_fill_cache)
       68    0.000    0.000    0.000    0.000 filter.py:224(__init__)
      324    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      166    0.000    0.000    0.000    0.000 enum.py:202(__get__)
      524    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      200    0.000    0.000    0.001    0.000 typing.py:723(<genexpr>)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
    44/32    0.000    0.000    0.007    0.000 css_parser.py:579(parse_pseudo_class)
      176    0.000    0.000    0.004    0.000 _parser.py:98(closegroup)
        1    0.000    0.000    0.011    0.011 url.py:1(<module>)
      268    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      133    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
        6    0.000    0.000    0.000    0.000 cookiejar.py:949(set_ok)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
       43    0.000    0.000    1.038    0.024 response.py:1044(stream)
      402    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
      259    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
        5    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
      218    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
        1    0.000    0.000    0.305    0.305 element.py:1(<module>)
        1    0.000    0.000    0.000    0.000 feedparser.py:469(_parse_headers)
      215    0.000    0.000    0.000    0.000 _virtualenv.py:52(find_spec)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
       64    0.000    0.000    0.001    0.000 typing.py:885(__init__)
    30/17    0.000    0.000    0.334    0.020 {built-in method builtins.__import__}
      104    0.000    0.000    0.000    0.000 typing.py:2310(get_origin)
        1    0.000    0.000    0.071    0.071 css_parser.py:1(<module>)
       66    0.000    0.000    0.012    0.000 element.py:2692(find)
       68    0.000    0.000    0.014    0.000 element.py:2723(find_all)
      112    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
  119/117    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      194    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
       69    0.000    0.000    0.000    0.000 element.py:524(get_text)
        2    0.000    0.000    0.001    0.001 cookies.py:1(<module>)
      263    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        2    0.000    0.000    0.007    0.003 request.py:1(<module>)
       79    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
        1    0.000    0.000    0.264    0.264 connection.py:669(connect)
      176    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.059    0.059 ssl.py:956(_create)
      288    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
        2    0.000    0.000    0.032    0.016 connection.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
        4    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       52    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
    40/31    0.000    0.000    0.007    0.000 css_parser.py:746(parse_pseudo_open)
      414    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      127    0.000    0.000    0.000    0.000 typing.py:1454(<genexpr>)
    71/51    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
       19    0.000    0.000    0.000    0.000 typing.py:1096(_generic_init_subclass)
        1    0.000    0.000    0.001    0.001 parser.py:56(parsestr)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
      405    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2238(__init__)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
        1    0.000    0.000    0.004    0.004 ssl.py:1(<module>)
