('Total Revenue', '270,010,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ', '168,088,000 ')
         847923 function calls (823694 primitive calls) in 8.175 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.003    0.000 enum.py:919(_convert_)
      190    0.000    0.000    0.051    0.000 _parser.py:969(parse)
       79    0.000    0.000    0.003    0.000 css_parser.py:472(parse_attribute_selector)
      856    0.000    0.000    0.323    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1005    0.000    0.000    0.000    0.000 {built-in method fromkeys}
     3028    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
      330    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     5613    0.000    0.000    0.000    0.000 element.py:2227(__bool__)
      134    0.000    0.000    0.002    0.000 typing.py:1242(__init__)
    165/4    0.000    0.000    0.708    0.177 <frozen importlib._bootstrap_external>:989(exec_module)
     1005    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      285    0.000    0.000    0.001    0.000 css_parser.py:344(match)
      334    0.000    0.000    2.021    0.006 ssl.py:1095(read)
     1663    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
     1243    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
  192/189    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     1434    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      174    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      334    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
        3    0.000    0.000    0.000    0.000 socket.py:221(__init__)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      165    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      495    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      740    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      928    0.000    0.000    0.000    0.000 typing.py:1134(_is_dunder)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      414    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
     3073    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    7.453    7.453 financial.py:8(main)
       43    0.000    0.000    1.324    0.031 response.py:1173(read_chunked)
      142    0.000    0.000    0.001    0.000 css_parser.py:369(__init__)
